StateAbbr,LocationName,All teeth lost among adults aged >=65 years,Arthritis among adults aged >=18 years,Cancer (excluding skin cancer) among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Coronary heart disease among adults aged >=18 years,Current asthma among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,High blood pressure among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Mental health not good for >=14 days among adults aged >=18 years,Physical health not good for >=14 days among adults aged >=18 years,Stroke among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Cholesterol screening among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Mammography use among women aged 50-74 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening","Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Binge drinking among adults aged >=18 years,Current smoking among adults aged >=18 years,No leisure-time physical activity among adults aged >=18 years,Obesity among adults aged >=18 years,Sleeping less than 7 hours among adults aged >=18 years
SD,Walworth,14.7,22.9,6.6,2.6,5.4,6.2,9,8.9,27.6,24.8,11.1,10.5,3,85.4,74.6,12.9,61.1,73.9,22.4,21.7,57.7,67.6,72,23.4,20.4,22.8,31.6,31.4
SD,Campbell,12.6,20.9,6.5,2.3,4.8,5.6,8.2,7.6,26.3,24.6,10.2,9.1,2.6,86.6,75.1,12.5,66,75.3,24.2,23.6,57.1,70.9,71,23.3,17.9,21.2,31,28.7
SD,Sully,11.6,21.3,6.6,2.4,4.7,5.6,8.2,7.8,26.4,23.9,10.1,9,2.6,87.1,75.9,11.6,66,74.1,24.7,22.7,57,71.9,71.7,23.5,17.3,20.3,31.8,29.2
TX,Childress,18.8,24.4,6.1,3.2,7.9,7.7,9,12.7,34.6,31.9,14.8,14.6,3.6,80.9,77.8,30.4,56,67.1,17.3,17.2,57.9,50.2,71.2,18.2,20.7,30.1,38.5,37.8
ND,Emmons,14.4,25.7,6.5,2.6,6.4,6.5,9.3,9.5,29.2,29.2,12.8,11.4,3,82.6,75.2,12.5,61,71,24.4,24.1,58.2,63.3,70,22.6,21.7,25,36.1,32.2
TX,Stonewall,16.6,23.5,6.2,2.9,7.4,7,9.2,11.1,33.1,31.5,14.7,13.4,3.3,81.8,77.6,25.9,58.4,68.8,18.4,18,57,54.7,71.4,18,19.6,27.8,36.1,36.4
TX,King,13.9,21.8,6.2,2.5,6.5,6.4,8.7,9.7,32.3,31.4,13.6,11.8,2.9,82.5,78,24.1,60.5,70.4,20.4,19.6,55.8,59.6,70.5,19.9,18,24.4,32.9,34.9
TX,Wheeler,17.6,24.6,6.3,3,7.8,7.3,9.5,11.7,33.3,31.7,15.4,14.2,3.4,81.5,77.5,26.8,57.8,68.6,18,17.9,57,53.2,71.4,17.7,20.3,28.4,36.6,36.8
TX,Collingsworth,19.2,24.5,6.2,3.1,7.9,7.4,9.6,12.3,33.7,31.6,15.4,14.6,3.6,81.4,77.8,30.2,56.1,68.2,17.6,17,57.1,52.2,71.5,17.3,20.1,30.3,37.6,36.9
TX,Hemphill,17,23.6,6.2,2.9,7.4,7.1,9.2,11.4,31.4,31,14.7,13.6,3.3,81.9,78.6,28.2,57.7,68.6,18.6,18.3,55.8,54.9,71.2,17.6,19,28,36,35.9
